wavelength nm,W/m^2/nm
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,0.478900398
345.71,-1.508868526
346.09,-2.710788845
346.47,1.214599203
346.85,0.35586753
347.23,0.228852231
347.611,0.082411952
347.991,0.095602311
348.371,0.124446215
348.751,0.124055139
349.131,0.104143426
349.511,0.119855498
349.891,0.076110558
350.27,0.086186773
350.65,0.090701514
351.03,0.07436006
351.41,0.100128765
351.79,0.072562649
352.169,0.08644988
352.549,0.074971793
352.928,0.07676751
353.308,0.085032669
353.687,0.085947251
354.067,0.084490518
354.446,0.097979084
354.826,0.084725618
355.205,0.08416243
355.584,0.085659402
355.964,0.098191873
356.343,0.090179761
356.722,0.092086653
357.101,0.091787988
357.48,0.082696932
357.859,0.096599363
358.238,0.091358486
358.617,0.079829402
358.996,0.082709462
359.375,0.072151554
359.754,0.066365239
360.133,0.079096614
360.512,0.064078665
360.891,0.079758964
361.269,0.069237741
361.648,0.076255279
362.027,0.078881616
362.405,0.071279355
362.784,0.061223675
363.162,0.069087211
363.541,0.077650199
363.919,0.082875418
364.298,0.068199382
364.676,0.057582757
365.054,0.073723841
365.433,0.071179916
365.811,0.07555702
366.189,0.05508459
366.567,0.060409926
366.945,0.051265807
367.323,0.063139428
367.701,0.054539325
368.079,0.077423546
368.457,0.045956604
368.835,0.056965803
369.213,0.052151151
369.591,0.061830131
369.969,0.064680191
370.346,0.058924853
370.724,0.047549183
371.102,0.066826556
371.479,0.061752195
371.857,0.05608054
372.235,0.050766968
372.612,0.067697649
372.99,0.05637012
373.367,0.059818263
373.744,0.052319227
374.122,0.063646853
374.499,0.057375594
374.876,0.0545149
375.254,0.057825
375.631,0.053167968
376.008,0.05693706
376.385,0.064816518
376.762,0.04967357
377.139,0.050653267
377.516,0.053180267
377.893,0.049163307
378.27,0.052632347
378.647,0.040094944
379.024,0.047736215
379.4,0.035231681
