>>>>>Begin Spectral Data<<<<<,W/m^2/nm
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,-2.094812749
345.71,-3.095478088
346.09,-2.462900398
346.47,1.434615936
346.85,0.311226096
347.23,0.229936773
347.611,0.14848255
347.991,0.182403904
348.371,0.11642988
348.751,0.084743745
349.131,0.101486056
349.511,0.08915247
349.891,0.073285359
350.27,0.074118645
350.65,0.06938008
351.03,0.068371514
351.41,0.059855936
351.79,0.064236873
352.169,0.075778526
352.549,0.072166135
352.928,0.072166135
353.308,0.05732988
353.687,0.080879363
354.067,0.089832988
354.446,0.065744721
354.826,0.073064462
355.205,0.071938088
355.584,0.074100538
355.964,0.068460558
356.343,0.076629801
356.722,0.086273307
357.101,0.074172112
357.48,0.073868367
357.859,0.071083347
358.238,0.053261833
358.617,0.082088765
358.996,0.081314343
359.375,0.075911713
359.754,0.081294084
360.133,0.066523227
360.512,0.078715618
360.891,0.067059761
361.269,0.062977378
361.648,0.050878392
362.027,0.051162034
362.405,0.066622661
362.784,0.048488367
363.162,0.063096584
363.541,0.059007869
363.919,0.058386733
364.298,0.053628765
364.676,0.057726016
365.054,0.068898763
365.433,0.055334331
365.811,0.039969418
366.189,0.055657363
366.567,0.049704237
366.945,0.059133546
367.323,0.060292297
367.701,0.059310687
368.079,0.049144661
368.457,0.061360857
368.835,0.052595223
369.213,0.054715398
369.591,0.046936014
369.969,0.05028153
370.346,0.055050677
370.724,0.049267151
371.102,0.052657285
371.479,0.055159649
371.857,0.051081032
372.235,0.040289964
372.612,0.046726454
372.99,0.042820518
373.367,0.051024032
373.744,0.044320084
374.122,0.034681984
374.499,0.047951657
374.876,0.044056319
375.254,0.0571965
375.631,0.041208566
376.008,0.049449371
376.385,0.04669543
376.762,0.048014789
377.139,0.039956086
377.516,0.043293141
377.893,0.050972275
378.27,0.043982833
378.647,0.03919941
