wavelength nm,EQE
1161.57547,20.47689
1173.10747,13.42423
1184.63947,5.31368
1101.60907,55.0349
1113.14107,50.62699
1124.67307,46.04276
1136.20507,41.28222
1147.73707,31.58482
1159.26907,24.00321
1303.41906,0.02418
1291.88706,-0.32845
1280.35506,-0.32845
1268.82306,-0.32845
1257.29106,-0.32845
1245.75906,-0.32845
1234.22706,-0.32845
1222.69506,-0.32845
1211.16307,0.37682
1199.63107,0.55313
1191.55867,1.08208
1185.79267,2.84525
1182.33307,4.60841
1184.63947,6.37158
1177.72027,8.13474
1175.41387,9.8979
1173.10747,11.66107
1169.64787,13.42423
1168.49467,15.18739
1165.03507,16.95056
1163.88187,18.71372
1159.26907,20.47689
1156.96267,22.24005
1155.80947,24.00321
1153.50307,25.76638
1150.04347,27.52954
1147.73707,29.29271
1146.58387,31.05587
1143.12427,32.81903
1139.66467,34.5822
1138.51147,36.34536
1136.20507,38.10853
1132.74547,39.87169
1130.43907,41.63485
1129.28587,43.39802
1126.97947,44.98486
1121.21347,46.57171
1116.60067,48.33488
1114.29427,49.92172
1110.83467,51.50857
1107.37507,53.27174
1103.91547,54.50595
1101.60907,56.0928
1098.14947,57.32701
1094.68987,58.56123
1091.23028,59.44281
1087.77068,61.02966
1084.31108,61.91124
1077.39188,63.14545
1075.08548,64.20335
1071.62588,65.43757
1068.16628,66.67178
1064.70668,67.906
1061.24708,69.14021
1057.78748,70.37443
1053.17468,71.78496
1048.56188,73.3718
1042.79588,74.60602
1038.18308,75.66392
1033.57028,77.07445
1027.80428,78.13235
1022.03828,79.19024
1017.42548,80.24814
1012.81268,81.48236
1002.43388,82.89289
995.51468,83.77447
988.59548,84.65605
982.82948,86.06658
972.45068,86.41922
960.91869,86.2429
949.38669,86.59553
937.85469,87.65343
930.93549,88.53501
919.40349,88.53501
910.17789,89.24028
898.64589,90.12186
887.11389,90.29818
875.58189,90.47449
864.04989,91.17976
1091.23028,58.91386
1085.46428,59.97176
1082.00468,61.38229
384.31873,62.44019
382.01233,60.85334
378.55273,59.44281
376.24633,57.67965
372.78673,55.91648
370.48033,54.15332
369.32713,52.39015
365.86754,50.62699
363.56114,48.86383
361.25474,47.27698
356.64194,45.51381
353.18234,43.75065
352.02914,41.98749
1303.41906,0.02418
1291.88706,-0.32845
1280.35506,-0.32845
1268.82306,-0.32845
1257.29106,-0.32845
1245.75906,-0.32845
1234.22706,-0.32845
1222.69506,-0.32845
1211.16307,0.37682
1199.63107,-0.15213
859.43709,90.82713
847.9051,91.00344
836.3731,91.53239
824.8411,91.88503
813.3091,92.23766
801.7771,92.23766
790.2451,92.23766
778.7131,91.88503
767.1811,91.70871
755.6491,92.06134
744.1171,92.41397
732.5851,92.76661
721.05311,92.94292
709.52111,93.11924
697.98911,93.29556
686.45711,92.59029
674.92511,92.94292
663.39311,93.29556
651.86111,93.11924
640.32911,92.76661
628.79711,92.41397
617.26511,92.41397
605.73312,92.06134
594.20112,91.53239
582.66912,91.00344
571.13712,91.00344
559.60512,91.17976
548.07312,91.00344
536.54112,90.29818
525.00912,89.94554
519.24312,89.06396
510.01752,88.53501
500.79192,87.82975
496.17912,86.77185
488.10673,85.71395
480.03433,85.00869
470.80873,84.30342
463.88953,83.06921
456.97033,82.54026
448.89793,81.65867
441.97873,80.60078
438.51913,79.19024
432.75313,77.6034
428.14033,76.5455
425.83393,75.13497
420.06793,73.90075
417.76153,72.31391
411.99553,71.25601
410.84233,69.84548
406.22953,68.43494
402.76993,67.20073
397.00393,65.96652
850.2115,90.65081
838.6795,91.17976
827.1475,91.35608
815.6155,91.88503
804.0835,92.23766
792.5515,92.23766
781.0195,92.06134
769.4875,92.06134
757.9555,91.88503
746.4235,92.23766
734.8915,92.41397
723.35951,92.76661
711.82751,92.94292
700.29551,92.94292
688.76351,92.59029
677.23151,92.59029
665.69951,93.11924
654.16751,92.94292
642.63551,92.76661
631.10351,92.41397
619.57151,92.06134
608.03952,92.06134
596.50752,91.53239
584.97552,91.17976
573.44352,91.17976
561.91152,91.00344
550.37952,90.65081
538.84752,90.12186
527.31552,89.94554
751.0363,92.06134
739.5043,92.06134
727.97231,92.41397
716.44031,92.76661
704.90831,92.76661
693.37631,92.59029
747.5767,91.88503
736.0447,92.06134
724.51271,92.41397
712.98071,92.59029
701.44871,92.41397
725.66591,92.59029
384.31873,62.44019
382.01233,60.85334
378.55273,59.44281
376.24633,57.67965
372.78673,55.91648
370.48033,54.15332
369.32713,52.39015
365.86754,50.62699
363.56114,48.86383
361.25474,47.27698
356.64194,45.51381
354.33554,44.63223
353.18234,42.86907
350.72905,40.3154
389.92094,64.24683
348.03164,38.66663
348.03164,37.23608
345.33422,35.17511
342.6368,33.11415
339.93938,30.64099
338.51134,28.99222
335.81392,27.34345
333.1165,25.47646
330.41909,23.63371
327.72167,21.76672
323.75488,19.89973
322.32683,18.66315
319.62941,16.82041
318.36004,15.17164
314.23458,13.30465
311.53716,11.4619
308.83974,10.0071
306.14233,8.35833
304.87295,6.51559
303.44491,4.6486
