>>>>>Begin Spectral Data<<<<<,W/m^2/nm
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,0.552944223
345.71,-2.119151394
346.09,-0.613625498
346.47,2.491297211
346.85,0.548175299
347.23,0.166087849
347.611,0.126311713
347.991,0.149839124
348.371,0.097410956
348.751,0.109834024
349.131,0.074290837
349.511,0.055167012
349.891,0.0775
350.27,0.064906733
350.65,0.054507092
351.03,0.092786355
351.41,0.062
351.79,0.084610279
352.169,0.088146215
352.549,0.065884741
352.928,0.075458685
353.308,0.070680478
353.687,0.085256175
354.067,0.080368127
354.446,0.06489253
354.826,0.077856096
355.205,0.07898247
355.584,0.08052488
355.964,0.077043506
356.343,0.06922243
356.722,0.063157968
357.101,0.0782151
357.48,0.06513998
357.859,0.060861315
358.238,0.074489283
358.617,0.073965618
358.996,0.065999402
359.375,0.077198247
359.754,0.06066741
360.133,0.069325976
360.512,0.066480936
360.891,0.082139442
361.269,0.063223896
361.648,0.062907143
362.027,0.069011317
362.405,0.070708159
362.784,0.066857968
363.162,0.055306295
363.541,0.0475
363.919,0.055366375
364.298,0.051559422
364.676,0.056129964
365.054,0.072736273
365.433,0.05999606
365.811,0.054744279
366.189,0.068521912
366.567,0.054691956
366.945,0.04774653
367.323,0.057098707
367.701,0.040962691
368.079,0.053113805
368.457,0.043814213
368.835,0.048302072
369.213,0.058576506
369.591,0.04754604
369.969,0.050079968
370.346,0.056850783
370.724,0.047075538
371.102,0.056032444
371.479,0.051011853
371.857,0.059554317
372.235,0.055796689
372.612,0.060984223
372.99,0.046531315
373.367,0.043076271
373.744,0.045673785
374.122,0.055922271
374.499,0.034020287
374.876,0.051422375
375.254,0.0454695
375.631,0.038829363
376.008,0.035515124
376.385,0.046159661
376.762,0.042880127
377.139,0.039781942
377.516,0.04208797
377.893,0.03887909
378.27,0.041458249
378.647,0.046363681
379.024,0.043042554
